R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
1,—,Netherlands,Jetty Paerl,De Vogels Van Holland,,2nd,1956,final
2,—,Switzerland,Lys Assia,Das Alte Karussell,,2nd,1956,final
3,—,Belgium,Fud Leclerc,Messieurs Les Noyés De La Seine,,2nd,1956,final
4,—,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,,2nd,1956,final
5,—,France,Mathé Altéry,Le Temps Perdu,,2nd,1956,final
6,—,Luxembourg,Michèle Arnaud,Ne Crois Pas,,2nd,1956,final
7,—,Italy,Franca Raimondi,Aprite Le Finestre,,2nd,1956,final
8,—,Netherlands,Corry Brokken,Voorgoed Voorbij,,2nd,1956,final
9,—,Switzerland,Lys Assia,Refrain,,1st,1956,final
10,—,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,,2nd,1956,final
11,—,Germany,Freddy Quinn,So Geht Das Jede Nacht,,2nd,1956,final
12,—,France,Dany Dauberson,Il Est Là,,2nd,1956,final
13,—,Luxembourg,Michèle Arnaud,Les Amants De Minuit,,2nd,1956,final
14,—,Italy,Tonina Torielli,Amami Se Vuoi,,2nd,1956,final
1,—,Belgium,Bobbejaan Schoepen,Straatdeuntje,5.0,8th,1957,final
2,—,Luxembourg,Danièle Dupré,Tant De Peine,8.0,4th,1957,final
3,—,United Kingdom,Patricia Bredin,All,6.0,7th,1957,final
4,—,Italy,Nunzio Gallo,Corde Della Mia Chitarra,7.0,6th,1957,final
5,—,Austria,Bob Martin,"Wohin, Kleines Pony",3.0,10th,1957,final
6,—,Netherlands,Corry Brokken,Net Als Toen,31.0,1st,1957,final
7,—,Germany,Margot Hielscher,"Telefon, Telefon",8.0,4th,1957,final
8,—,France,Paule Desjardins,La Belle Amour,17.0,2nd,1957,final
9,—,Denmark,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,10.0,3rd,1957,final
10,—,Switzerland,Lys Assia,L'enfant Que J'étais,5.0,8th,1957,final
1,—,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,13.0,3rd,1958,final
2,—,Netherlands,Corry Brokken,Heel De Wereld,1.0,9th,1958,final
3,—,France,André Claveau,Dors Mon Amour,27.0,1st,1958,final
4,—,Luxembourg,Solange Berry,Un Grand Amour,1.0,9th,1958,final
5,—,Sweden,Alice Babs,Lilla Stjärna,10.0,4th,1958,final
6,—,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,3.0,8th,1958,final
7,—,Belgium,Fud Leclerc,Ma Petite Chatte,8.0,5th,1958,final
8,—,Germany,Margot Hielscher,Für Zwei Groschen Musik,5.0,7th,1958,final
9,—,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,8.0,5th,1958,final
