Year,Format,Country,Place,Nr_Winners,Order,Participant,Song,Points,Rank,Win,Qualified
1956,Final,Netherlands,Lugano,1,1,Jetty Paerl,De Vogels Van Holland,0,2,0,0
1956,Final,Switzerland,Lugano,1,2,Lys Assia,Das Alte Karussell,0,2,0,0
1956,Final,Belgium,Lugano,1,3,Fud Leclerc,Messieurs Les Noyés De La Seine,0,2,0,0
1956,Final,Germany,Lugano,1,4,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,0,2,0,0
1956,Final,France,Lugano,1,5,Mathé Altéry,Le Temps Perdu,0,2,0,0
1956,Final,Luxembourg,Lugano,1,6,Michèle Arnaud,Ne Crois Pas,0,2,0,0
1956,Final,Italy,Lugano,1,7,Franca Raimondi,Aprite Le Finestre,0,2,0,0
1956,Final,Netherlands,Lugano,1,8,Corry Brokken,Voorgoed Voorbij,0,2,0,0
1956,Final,Switzerland,Lugano,1,9,Lys Assia,Refrain,0,1,1,0
1956,Final,Belgium,Lugano,1,10,Mony Marc,Le Plus Beau Jour De Ma Vie,0,2,0,0
1956,Final,Germany,Lugano,1,11,Freddy Quinn,So Geht Das Jede Nacht,0,2,0,0
1956,Final,France,Lugano,1,12,Dany Dauberson,Il Est Là,0,2,0,0
1956,Final,Luxembourg,Lugano,1,13,Michèle Arnaud,Les Amants De Minuit,0,2,0,0
1956,Final,Italy,Lugano,1,14,Tonina Torielli,Amami Se Vuoi,0,2,0,0
1957,Final,Belgium,Frankfurt am Main,1,1,Bobbejaan Schoepen,Straatdeuntje,5,8,0,0
1957,Final,Luxembourg,Frankfurt am Main,1,2,Danièle Dupré,Tant De Peine,8,4,0,0
1957,Final,United Kingdom,Frankfurt am Main,1,3,Patricia Bredin,All,6,7,0,0
1957,Final,Italy,Frankfurt am Main,1,4,Nunzio Gallo,Corde Della Mia Chitarra,7,6,0,0
1957,Final,Austria,Frankfurt am Main,1,5,Bob Martin,"Wohin, Kleines Pony",3,10,0,0
1957,Final,Netherlands,Frankfurt am Main,1,6,Corry Brokken,Net Als Toen,31,1,1,0
1957,Final,Germany,Frankfurt am Main,1,7,Margot Hielscher,"Telefon, Telefon",8,4,0,0
1957,Final,France,Frankfurt am Main,1,8,Paule Desjardins,La Belle Amour,17,2,0,0
1957,Final,Denmark,Frankfurt am Main,1,9,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,10,3,0,0
1957,Final,Switzerland,Frankfurt am Main,1,10,Lys Assia,L'enfant Que J'étais,5,8,0,0
1958,Final,Italy,Hilversum,1,1,Domenico Modugno,Nel Blu Dipinto Di Blu,13,3,0,0
1958,Final,Netherlands,Hilversum,1,2,Corry Brokken,Heel De Wereld,1,9,0,0
1958,Final,France,Hilversum,1,3,André Claveau,Dors Mon Amour,27,1,1,0
1958,Final,Luxembourg,Hilversum,1,4,Solange Berry,Un Grand Amour,1,9,0,0
1958,Final,Sweden,Hilversum,1,5,Alice Babs,Lilla Stjärna,10,4,0,0
1958,Final,Denmark,Hilversum,1,6,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,3,8,0,0
1958,Final,Belgium,Hilversum,1,7,Fud Leclerc,Ma Petite Chatte,8,5,0,0
1958,Final,Germany,Hilversum,1,8,Margot Hielscher,Für Zwei Groschen Musik,5,7,0,0
1958,Final,Austria,Hilversum,1,9,Liane Augustin,Die Ganze Welt Braucht Liebe,8,5,0,0
1958,Final,Switzerland,Hilversum,1,10,Lys Assia,Giorgio,24,2,0,0
1959,Final,France,Cannes,1,1,Jean Philippe,"Oui, Oui, Oui, Oui",15,3,0,0
1959,Final,Denmark,Cannes,1,2,Birthe Wilke,Uh-jeg Ville Ønske Jeg Var Dig,12,5,0,0
1959,Final,Italy,Cannes,1,3,Domenico Modugno,Piove,9,6,0,0
1959,Final,Monaco,Cannes,1,4,Jacques Pills,Mon Ami Pierrot,1,11,0,0
1959,Final,Netherlands,Cannes,1,5,Teddy Scholten,Een Beetje,21,1,1,0
1959,Final,Germany,Cannes,1,6,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,5,8,0,0
1959,Final,Sweden,Cannes,1,7,Brita Borg,Augustin,4,9,0,0
1959,Final,Switzerland,Cannes,1,8,Christa Williams,Irgendwoher,14,4,0,0
1959,Final,Austria,Cannes,1,9,Ferry Graf,Der K. Und K. Kalypso Aus Wien,4,9,0,0
1959,Final,United Kingdom,Cannes,1,10,Pearl Carr and Teddy Johnson,Sing Little Birdie,16,2,0,0
1959,Final,Belgium,Cannes,1,11,Bob Benny,Hou Toch Van Mij,9,6,0,0
1960,Final,United Kingdom,London,1,1,Bryan Johnson,"Looking High, High, High",25,2,0,0
1960,Final,Sweden,London,1,2,Siw Malmkvist,Alla Andra Får Varann,4,10,0,0
1960,Final,Luxembourg,London,1,3,Camillo Felgen,So Laang We's Du Do Bast,1,13,0,0
1960,Final,Denmark,London,1,4,Katy Bødtger,Det Var En Yndig Tid,4,10,0,0
1960,Final,Belgium,London,1,5,Fud Leclerc,Mon Amour Pour Toi,9,6,0,0
1960,Final,Norway,London,1,6,Nora Brockstedt,Voi-voi,11,4,0,0
1960,Final,Austria,London,1,7,Harry Winter,Du Hast Mich So Fasziniert,6,7,0,0
1960,Final,Monaco,London,1,8,François Deguelt,Ce Soir-là,15,3,0,0
1960,Final,Switzerland,London,1,9,Anita Traversi,Cielo E Terra,5,8,0,0
1960,Final,Netherlands,London,1,10,Rudi Carrell,Wat Een Geluk,2,12,0,0
1960,Final,Germany,London,1,11,Wyn Hoop,"Bonne Nuit, Ma Chérie!",11,4,0,0
1960,Final,Italy,London,1,12,Renato Rascel,Romantica,5,8,0,0
1960,Final,France,London,1,13,Jacqueline Boyer,Tom Pillibi,32,1,1,0
1961,Final,Spain,Cannes,1,1,Conchita Bautista,Estando Contigo,8,9,0,0
1961,Final,Monaco,Cannes,1,2,Colette Deréal,"Allons, Allons Les Enfants",6,10,0,0
1961,Final,Austria,Cannes,1,3,Jimmy Makulis,Sehnsucht,1,15,0,0
1961,Final,Finland,Cannes,1,4,Laila Kinnunen,Valoa Ikkunassa,6,10,0,0
1961,Final,Yugoslavia,Cannes,1,5,Ljiljana Petrovic,Neke Davne Zvezde,9,8,0,0
1961,Final,Netherlands,Cannes,1,6,Greetje Kauffeld,Wat Een Dag,6,10,0,0
1961,Final,Sweden,Cannes,1,7,Lill-Babs,"April, April",2,14,0,0
1961,Final,Germany,Cannes,1,8,Lale Andersen,Einmal Sehen Wir Uns Wieder,3,13,0,0
1961,Final,France,Cannes,1,9,Jean-Paul Mauric,Printemps (avril Carillonne),13,4,0,0
1961,Final,Switzerland,Cannes,1,10,Franca di Rienzo,Nous Aurons Demain,16,3,0,0
1961,Final,Belgium,Cannes,1,11,Bob Benny,"September, Gouden Roos",1,15,0,0
1961,Final,Norway,Cannes,1,12,Nora Brockstedt,Sommer I Palma,10,7,0,0
1961,Final,Denmark,Cannes,1,13,Dario Campeotto,Angelique,12,5,0,0
1961,Final,Luxembourg,Cannes,1,14,Jean-Claude Pascal,Nous Les Amoureux,31,1,1,0
1961,Final,United Kingdom,Cannes,1,15,The Allisons,Are You Sure?,24,2,0,0
1961,Final,Italy,Cannes,1,16,Betty Curtis,Al Di Là,12,5,0,0
1962,Final,Finland,Luxembourg,1,1,Marion Rung,Tipi-tii,4,7,0,0
1962,Final,Belgium,Luxembourg,1,2,Fud Leclerc,Ton Nom,0,13,0,0
1962,Final,Spain,Luxembourg,1,3,Victor Balaguer,Llámame,0,13,0,0
1962,Final,Austria,Luxembourg,1,4,Eleonore Schwarz,Nur In Der Wiener Luft,0,13,0,0
1962,Final,Denmark,Luxembourg,1,5,Ellen Winther,Vuggevise,2,10,0,0
1962,Final,Sweden,Luxembourg,1,6,Inger Berggren,Sol Och Vår,4,7,0,0
1962,Final,Germany,Luxembourg,1,7,Conny Froboess,Zwei Kleine Italiener,9,6,0,0
1962,Final,Netherlands,Luxembourg,1,8,De Spelbrekers,Katinka,0,13,0,0
1962,Final,France,Luxembourg,1,9,Isabelle Aubret,Un Premier Amour,26,1,1,0
1962,Final,Norway,Luxembourg,1,10,Inger Jacobsen,"Kom Sol, Kom Regn",2,10,0,0
1962,Final,Switzerland,Luxembourg,1,11,Jean Philippe,Le Retour,2,10,0,0
1962,Final,Yugoslavia,Luxembourg,1,12,Lola Novakovic,Ne Pali Svetlo U Sumrak,10,4,0,0
1962,Final,United Kingdom,Luxembourg,1,13,Ronnie Carroll,Ring-a-ding Girl,10,4,0,0
1962,Final,Luxembourg,Luxembourg,1,14,Camillo Felgen,Petit Bonhomme,11,3,0,0
1962,Final,Italy,Luxembourg,1,15,Claudio Villa,"Addio, Addio",3,9,0,0
1962,Final,Monaco,Luxembourg,1,16,François Deguelt,Dis Rien,13,2,0,0
1963,Final,United Kingdom,London,1,1,Ronnie Carroll,Say Wonderful Things,28,4,0,0
1963,Final,Netherlands,London,1,2,Annie Palmen,Een Speeldoos,0,13,0,0
1963,Final,Germany,London,1,3,Heidi Brühl,Marcel,5,9,0,0
1963,Final,Austria,London,1,4,Carmela Corren,Vielleicht Geschieht Ein Wunder,16,7,0,0
1963,Final,Norway,London,1,5,Anita Thallaug,Solhverv,0,13,0,0
1963,Final,Italy,London,1,6,Emilio Pericoli,Uno Per Tutte,37,3,0,0
1963,Final,Finland,London,1,7,Laila Halme,Muistojeni Laulu,0,13,0,0
1963,Final,Denmark,London,1,8,Grethe and Jørgen Ingmann,Dansevise,42,1,1,0
1963,Final,Yugoslavia,London,1,9,Vice Vukov,Brodovi,3,11,0,0
1963,Final,Switzerland,London,1,10,Esther Ofarim,T'en Va Pas,40,2,0,0
1963,Final,France,London,1,11,Alain Barrière,Elle était Si Jolie,25,5,0,0
1963,Final,Spain,London,1,12,José Guardiola,Algo Prodigioso,2,12,0,0
1963,Final,Sweden,London,1,13,Monica Zetterlund,En Gång I Stockholm,0,13,0,0
1963,Final,Belgium,London,1,14,Jacques Raymond,Waarom,4,10,0,0
1963,Final,Monaco,London,1,15,Françoise Hardy,L'amour S'en Va,25,5,0,0
1963,Final,Luxembourg,London,1,16,Nana Mouskouri,A Force De Prier,13,8,0,0
1964,Final,Luxembourg,Copenhagen,1,1,Hugues Aufray,Dès Que Le Printemps Revient,14,4,0,0
1964,Final,Netherlands,Copenhagen,1,2,Anneke Grönloh,Jij Bent Mijn Leven,2,10,0,0
1964,Final,Norway,Copenhagen,1,3,Arne Bendiksen,Spiral,6,8,0,0
1964,Final,Denmark,Copenhagen,1,4,Bjørn Tidmand,Sangen Om Dig,4,9,0,0
1964,Final,Finland,Copenhagen,1,5,Lasse Mårtenson,Laiskotellen,9,7,0,0
1964,Final,Austria,Copenhagen,1,6,Udo Jürgens,"Warum Nur, Warum?",11,6,0,0
1964,Final,France,Copenhagen,1,7,Rachel,Le Chant De Mallory,14,4,0,0
1964,Final,United Kingdom,Copenhagen,1,8,Matt Monro,I Love The Little Things,17,2,0,0
1964,Final,Germany,Copenhagen,1,9,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,0,13,0,0
1964,Final,Monaco,Copenhagen,1,10,Romuald,Où Sont-elles Passées?,15,3,0,0
1964,Final,Portugal,Copenhagen,1,11,António Calvário,Oração,0,13,0,0
1964,Final,Italy,Copenhagen,1,12,Gigliola Cinquetti,Non Ho L'étà,49,1,1,0
1964,Final,Yugoslavia,Copenhagen,1,13,Sabahudin Kurt,Zivot Je Sklopio Krug,0,13,0,0
1964,Final,Switzerland,Copenhagen,1,14,Anita Traversi,I Miei Pensieri,0,13,0,0
1964,Final,Belgium,Copenhagen,1,15,Robert Cogoi,Près De Ma Rivière,2,10,0,0
1964,Final,Spain,Copenhagen,1,16,"Tim, Nelly and Tony",Caracola,1,12,0,0
1965,Final,Netherlands,Naples,1,1,Conny Van den bos,Het Is Genoeg,5,11,0,0
1965,Final,United Kingdom,Naples,1,2,Kathy Kirby,I Belong,26,2,0,0
1965,Final,Spain,Naples,1,3,Conchita Bautista,"Qué Bueno, Qué Bueno",0,15,0,0
1965,Final,Ireland,Naples,1,4,Butch Moore,I'm Walking The Streets In The Rain,11,6,0,0
1965,Final,Germany,Naples,1,5,Ulla Wiesner,"Paradies, Wo Bist Du?",0,15,0,0
1965,Final,Austria,Naples,1,6,Udo Jürgens,"Sag Ihr, Ich Lass' Sie Grüßen",16,4,0,0
1965,Final,Norway,Naples,1,7,Kirsti Sparboe,Karusell,1,13,0,0
1965,Final,Belgium,Naples,1,8,Lize Marke,Als Het Weer Lente Is,0,15,0,0
1965,Final,Monaco,Naples,1,9,Marjorie Noël,Va Dire à L'amour,7,9,0,0
1965,Final,Sweden,Naples,1,10,Ingvar Wixell,Absent Friend,6,10,0,0
1965,Final,France,Naples,1,11,Guy Mardel,N'avoue Jamais,22,3,0,0
1965,Final,Portugal,Naples,1,12,Simone de Oliviera,Sol De Inverno,1,13,0,0
