Year,Format,Country,From,Score_type,Score,N_score
1957,Final,Belgium,Denmark,Jury,2,2.833333333333333
1957,Final,Belgium,Germany,Jury,2,2.833333333333333
1957,Final,Belgium,Switzerland,Jury,1,1.0
1957,Final,Luxembourg,Italy,Jury,4,6.5
1957,Final,Luxembourg,Austria,Jury,3,4.666666666666667
1957,Final,Luxembourg,United Kingdom,Jury,1,1.0
1957,Final,United Kingdom,Switzerland,Jury,2,2.833333333333333
1957,Final,United Kingdom,Austria,Jury,1,1.0
1957,Final,United Kingdom,Belgium,Jury,1,1.0
1957,Final,United Kingdom,Luxembourg,Jury,1,1.0
1957,Final,United Kingdom,Netherlands,Jury,1,1.0
1957,Final,Italy,United Kingdom,Jury,2,2.833333333333333
1957,Final,Italy,Netherlands,Jury,2,2.833333333333333
1957,Final,Italy,Denmark,Jury,1,1.0
1957,Final,Italy,Belgium,Jury,1,1.0
1957,Final,Italy,Luxembourg,Jury,1,1.0
1957,Final,Austria,United Kingdom,Jury,2,2.833333333333333
1957,Final,Austria,Netherlands,Jury,1,1.0
1957,Final,Netherlands,Switzerland,Jury,7,11.999999999999998
1957,Final,Netherlands,Austria,Jury,6,10.166666666666666
1957,Final,Netherlands,Belgium,Jury,5,8.333333333333332
1957,Final,Netherlands,France,Jury,4,6.5
1957,Final,Netherlands,Denmark,Jury,3,4.666666666666667
1957,Final,Netherlands,Luxembourg,Jury,3,4.666666666666667
1957,Final,Netherlands,United Kingdom,Jury,1,1.0
1957,Final,Netherlands,Germany,Jury,1,1.0
1957,Final,Netherlands,Italy,Jury,1,1.0
1957,Final,Germany,France,Jury,6,10.166666666666666
1957,Final,Germany,Italy,Jury,1,1.0
1957,Final,Germany,Belgium,Jury,1,1.0
1957,Final,France,Germany,Jury,6,10.166666666666666
1957,Final,France,Luxembourg,Jury,4,6.5
1957,Final,France,Belgium,Jury,2,2.833333333333333
1957,Final,France,United Kingdom,Jury,2,2.833333333333333
1957,Final,France,Denmark,Jury,2,2.833333333333333
1957,Final,France,Netherlands,Jury,1,1.0
1957,Final,Denmark,Netherlands,Jury,5,8.333333333333332
1957,Final,Denmark,Italy,Jury,3,4.666666666666667
1957,Final,Denmark,United Kingdom,Jury,2,2.833333333333333
1957,Final,Switzerland,Denmark,Jury,2,2.833333333333333
1957,Final,Switzerland,Italy,Jury,1,1.0
1957,Final,Switzerland,Germany,Jury,1,1.0
1957,Final,Switzerland,Luxembourg,Jury,1,1.0
1958,Final,Italy,Belgium,Jury,4,5.125
1958,Final,Italy,Germany,Jury,4,5.125
1958,Final,Italy,Austria,Jury,1,1.0
1958,Final,Italy,Switzerland,Jury,1,1.0
1958,Final,Italy,Netherlands,Jury,1,1.0
1958,Final,Italy,Sweden,Jury,1,1.0
1958,Final,Italy,France,Jury,1,1.0
1958,Final,Netherlands,Switzerland,Jury,1,1.0
1958,Final,France,Denmark,Jury,9,12.0
1958,Final,France,Austria,Jury,7,9.25
1958,Final,France,Italy,Jury,6,7.875
1958,Final,France,Sweden,Jury,1,1.0
1958,Final,France,Germany,Jury,1,1.0
1958,Final,France,Switzerland,Jury,1,1.0
1958,Final,France,Belgium,Jury,1,1.0
1958,Final,France,Luxembourg,Jury,1,1.0
1958,Final,Luxembourg,Switzerland,Jury,1,1.0
1958,Final,Sweden,Switzerland,Jury,3,3.75
1958,Final,Sweden,Luxembourg,Jury,3,3.75
1958,Final,Sweden,Netherlands,Jury,2,2.375
1958,Final,Sweden,Austria,Jury,1,1.0
1958,Final,Sweden,Belgium,Jury,1,1.0
1958,Final,Denmark,France,Jury,1,1.0
1958,Final,Denmark,Netherlands,Jury,1,1.0
1958,Final,Denmark,Sweden,Jury,1,1.0
1958,Final,Belgium,Germany,Jury,5,6.5
1958,Final,Belgium,Denmark,Jury,1,1.0
1958,Final,Belgium,Switzerland,Jury,1,1.0
1958,Final,Belgium,Sweden,Jury,1,1.0
1958,Final,Germany,France,Jury,2,2.375
1958,Final,Germany,Austria,Jury,1,1.0
1958,Final,Germany,Belgium,Jury,1,1.0
1958,Final,Germany,Sweden,Jury,1,1.0
1958,Final,Austria,France,Jury,3,3.75
1958,Final,Austria,Switzerland,Jury,2,2.375
1958,Final,Austria,Belgium,Jury,1,1.0
1958,Final,Austria,Luxembourg,Jury,1,1.0
1958,Final,Austria,Sweden,Jury,1,1.0
1958,Final,Switzerland,Netherlands,Jury,6,7.875
1958,Final,Switzerland,Luxembourg,Jury,5,6.5
1958,Final,Switzerland,Italy,Jury,4,5.125
1958,Final,Switzerland,Sweden,Jury,4,5.125
1958,Final,Switzerland,France,Jury,3,3.75
1958,Final,Switzerland,Belgium,Jury,2,2.375
1959,Final,France,Germany,Jury,4,6.5
1959,Final,France,Denmark,Jury,4,6.5
1959,Final,France,Belgium,Jury,2,2.833333333333333
1959,Final,France,Monaco,Jury,2,2.833333333333333
1959,Final,France,Austria,Jury,1,1.0
1959,Final,France,Switzerland,Jury,1,1.0
1959,Final,France,Italy,Jury,1,1.0
1959,Final,Denmark,Sweden,Jury,4,6.5
1959,Final,Denmark,United Kingdom,Jury,2,2.833333333333333
1959,Final,Denmark,Austria,Jury,2,2.833333333333333
1959,Final,Denmark,Italy,Jury,1,1.0
1959,Final,Denmark,Switzerland,Jury,1,1.0
1959,Final,Denmark,Netherlands,Jury,1,1.0
1959,Final,Denmark,Monaco,Jury,1,1.0
1959,Final,Italy,France,Jury,3,4.666666666666667
1959,Final,Italy,Switzerland,Jury,3,4.666666666666667
1959,Final,Italy,Belgium,Jury,1,1.0
1959,Final,Italy,Sweden,Jury,1,1.0
1959,Final,Italy,Monaco,Jury,1,1.0
1959,Final,Monaco,Austria,Jury,1,1.0
1959,Final,Netherlands,Italy,Jury,7,11.999999999999998
1959,Final,Netherlands,France,Jury,4,6.5
1959,Final,Netherlands,Austria,Jury,3,4.666666666666667
1959,Final,Netherlands,Belgium,Jury,3,4.666666666666667
1959,Final,Netherlands,Germany,Jury,2,2.833333333333333
1959,Final,Netherlands,United Kingdom,Jury,1,1.0
1959,Final,Netherlands,Monaco,Jury,1,1.0
1959,Final,Germany,France,Jury,2,2.833333333333333
1959,Final,Germany,Italy,Jury,1,1.0
1959,Final,Germany,Switzerland,Jury,1,1.0
1959,Final,Germany,Belgium,Jury,1,1.0
1959,Final,Sweden,Netherlands,Jury,3,4.666666666666667
1959,Final,Sweden,Denmark,Jury,1,1.0
1959,Final,Switzerland,United Kingdom,Jury,5,8.333333333333332
1959,Final,Switzerland,Sweden,Jury,3,4.666666666666667
1959,Final,Switzerland,Denmark,Jury,2,2.833333333333333
1959,Final,Switzerland,Germany,Jury,1,1.0
1959,Final,Switzerland,Austria,Jury,1,1.0
1959,Final,Switzerland,Belgium,Jury,1,1.0
1959,Final,Switzerland,Monaco,Jury,1,1.0
1959,Final,Austria,Sweden,Jury,2,2.833333333333333
1959,Final,Austria,Switzerland,Jury,1,1.0
1959,Final,Austria,Monaco,Jury,1,1.0
1959,Final,United Kingdom,Netherlands,Jury,5,8.333333333333332
1959,Final,United Kingdom,Switzerland,Jury,3,4.666666666666667
